Root Chakra
Sacral Chakra
Solar Plexus Chakra
Heart Chakra
Throat Chakra
Third Eye Chakra
Crown Chakra
Objective Clarity
Interactivity
Time Quantum (Speed)
Spatial Needs
Discovery Amount
Response Intensity
Challenge Alignment
Personalization Depth
Avatar Agency
Learning Curve
Randomicity
Session Duration
Engagement Frequency
Commitment Level
Cognitive Load
Mindfulness Potential
Flow Accessibility
Collaboration Depth
Competitive Intensity
Teaching/Learning Ratio
Audience Presence
Physical Exertion
Sensory Richness
Tactile Engagement
Autonomy Level
Consequence Weight
Mastery Ceiling
Output Tangibility
Real-World Utility
Legacy Potential
Novelty Seeking
Nostalgia Factor
Risk/Thrill Level
Cathartic Release
Financial Investment
Entry Barrier
Physical Accessibility
Physiological Need
Safety & Security
Social Belonging
Esteem & Status
Self-Actualization
